Membrane potentials for each step (in ms) [0,10000]
P1(19.1)=0 P2(19.1)=0 P115(19.1)=0 P116(19.1)=0
P1(19.2)=0 P2(19.2)=0 P115(19.2)=0 P116(19.2)=0
P1(19.3)=0 P2(19.3)=0 P115(19.3)=0 P116(19.3)=0
P1(19.4)=0 P2(19.4)=0 P115(19.4)=0 P116(19.4)=0
P1(19.5)=0 P2(19.5)=0 P115(19.5)=0 P116(19.5)=0
P1(19.6)=0 P2(19.6)=0 P115(19.6)=0 P116(19.6)=0
P1(19.7)=0 P2(19.7)=0 P115(19.7)=0 P116(19.7)=0
P1(19.8)=0 P2(19.8)=0 P115(19.8)=0 P116(19.8)=0
P1(19.9)=0 P2(19.9)=0 P115(19.9)=0 P116(19.9)=0
P1(20)=0 P2(20)=0 P115(20)=0 P116(20)=0
P1(20.1)=0 P2(20.1)=0 P115(20.1)=0 P116(20.1)=0
P1(20.2)=0 P2(20.2)=0 P115(20.2)=0 P116(20.2)=0
P1(20.3)=0 P2(20.3)=0 P115(20.3)=0 P116(20.3)=0
P1(20.4)=0 P2(20.4)=0 P115(20.4)=0 P116(20.4)=0
P1(20.5)=0 P2(20.5)=0 P115(20.5)=0 P116(20.5)=0
P1(20.6)=0 P2(20.6)=0 P115(20.6)=0 P116(20.6)=0
P1(20.7)=0 P2(20.7)=0 P115(20.7)=0 P116(20.7)=0
P1(20.8)=0 P2(20.8)=0 P115(20.8)=0 P116(20.8)=0
P1(20.9)=0 P2(20.9)=0 P115(20.9)=0 P116(20.9)=0
P1(21)=0 P2(21)=0 P115(21)=0 P116(21)=0
P1(21.1)=0 P2(21.1)=0 P115(21.1)=0 P116(21.1)=0
P1(21.2)=0 P2(21.2)=0 P115(21.2)=0 P116(21.2)=0
P1(21.3)=0 P2(21.3)=0 P115(21.3)=0 P116(21.3)=0
P1(21.4)=0 P2(21.4)=0 P115(21.4)=0 P116(21.4)=0
P1(21.5)=0 P2(21.5)=0 P115(21.5)=0 P116(21.5)=0
P1(21.6)=0 P2(21.6)=0 P115(21.6)=0 P116(21.6)=0
P1(21.7)=0 P2(21.7)=0 P115(21.7)=0 P116(21.7)=0
P1(21.8)=0 P2(21.8)=0 P115(21.8)=0 P116(21.8)=0
P1(21.9)=0 P2(21.9)=0 P115(21.9)=0 P116(21.9)=0
P1(22)=0 P2(22)=0 P115(22)=0 P116(22)=0
P1(22.1)=0 P2(22.1)=0 P115(22.1)=0 P116(22.1)=0
P1(22.2)=0 P2(22.2)=0 P115(22.2)=0 P116(22.2)=0
P1(22.3)=0 P2(22.3)=0 P115(22.3)=0 P116(22.3)=0
P1(22.4)=0 P2(22.4)=0 P115(22.4)=0 P116(22.4)=0
P1(22.5)=0 P2(22.5)=0 P115(22.5)=0 P116(22.5)=0
P1(22.6)=0 P2(22.6)=0 P115(22.6)=0 P116(22.6)=0
P1(22.7)=0 P2(22.7)=0 P115(22.7)=0 P116(22.7)=0
P1(22.8)=0 P2(22.8)=0 P115(22.8)=0 P116(22.8)=0
P1(22.9)=0 P2(22.9)=0 P115(22.9)=0 P116(22.9)=0
P1(23)=0 P2(23)=0 P115(23)=0 P116(23)=0
P1(23.1)=0 P2(23.1)=0 P115(23.1)=0 P116(23.1)=0
P1(23.2)=0 P2(23.2)=0 P115(23.2)=0 P116(23.2)=0
P1(23.3)=0 P2(23.3)=0 P115(23.3)=0 P116(23.3)=0
P1(23.4)=0 P2(23.4)=0 P115(23.4)=0 P116(23.4)=0
P1(23.5)=0 P2(23.5)=0 P115(23.5)=0 P116(23.5)=0
P1(23.6)=0 P2(23.6)=0 P115(23.6)=0 P116(23.6)=0
P1(23.7)=0 P2(23.7)=0 P115(23.7)=0 P116(23.7)=0
P1(23.8)=0 P2(23.8)=0 P115(23.8)=0 P116(23.8)=0
