Membrane potentials for each step (in ms) [0,10000]
P1(204.9)=0 P2(204.9)=0 P115(204.9)=3 P116(204.9)=18
P1(205)=0 P2(205)=0 P115(205)=4 P116(205)=17.5
P1(205.1)=0 P2(205.1)=0 P115(205.1)=4.2 P116(205.1)=18.5
P1(205.2)=0 P2(205.2)=0 P115(205.2)=4.2 P116(205.2)=18.6
P1(205.3)=0 P2(205.3)=0 P115(205.3)=5.2 P116(205.3)=18.6
P1(205.4)=0 P2(205.4)=0 P115(205.4)=5.2 P116(205.4)=19.6
P1(205.5)=0 P2(205.5)=0 P115(205.5)=7.2 P116(205.5)=19.6
P1(205.6)=0 P2(205.6)=0 P115(205.6)=7.2 P116(205.6)=19.6
P1(205.7)=0 P2(205.7)=0 P115(205.7)=7.2 P116(205.7)=19.6
P1(205.8)=0 P2(205.8)=0 P115(205.8)=7.2 P116(205.8)=19.6
P1(205.9)=0 P2(205.9)=0 P115(205.9)=7.2 P116(205.9)=19.6
P1(206)=0 P2(206)=0 P115(206)=8.2 P116(206)=20.6
P1(206.1)=0 P2(206.1)=0 P115(206.1)=8.2 P116(206.1)=0
P1(206.2)=0 P2(206.2)=0 P115(206.2)=8.2 P116(206.2)=0
P1(206.3)=0 P2(206.3)=0 P115(206.3)=7.7 P116(206.3)=0
P1(206.4)=0 P2(206.4)=0 P115(206.4)=7.2 P116(206.4)=0
P1(206.5)=0 P2(206.5)=0 P115(206.5)=8.3 P116(206.5)=0
P1(206.6)=0 P2(206.6)=0 P115(206.6)=8.3 P116(206.6)=0
P1(206.7)=0 P2(206.7)=0 P115(206.7)=8.3 P116(206.7)=0
P1(206.8)=0 P2(206.8)=0 P115(206.8)=8.3 P116(206.8)=0
P1(206.9)=0 P2(206.9)=0 P115(206.9)=8.3 P116(206.9)=0
P1(207)=0 P2(207)=0 P115(207)=8.3 P116(207)=0
P1(207.1)=0 P2(207.1)=3.1 P115(207.1)=8.3 P116(207.1)=0
P1(207.2)=0 P2(207.2)=3.1 P115(207.2)=8.3 P116(207.2)=0
P1(207.3)=0 P2(207.3)=3.1 P115(207.3)=8.3 P116(207.3)=0
P1(207.4)=0 P2(207.4)=3.1 P115(207.4)=8.3 P116(207.4)=0
P1(207.5)=0 P2(207.5)=4.1 P115(207.5)=8.3 P116(207.5)=0
P1(207.6)=1 P2(207.6)=4.2 P115(207.6)=9.3 P116(207.6)=0
P1(207.7)=1 P2(207.7)=4.2 P115(207.7)=8.8 P116(207.7)=0
P1(207.8)=1 P2(207.8)=4.2 P115(207.8)=8.8 P116(207.8)=0
P1(207.9)=1 P2(207.9)=4.2 P115(207.9)=8.8 P116(207.9)=0
P1(208)=1 P2(208)=4.2 P115(208)=8.9 P116(208)=0
P1(208.1)=1 P2(208.1)=5.2 P115(208.1)=8.9 P116(208.1)=0
P1(208.2)=1 P2(208.2)=5.2 P115(208.2)=8.9 P116(208.2)=0
P1(208.3)=2 P2(208.3)=6.3 P115(208.3)=9.9 P116(208.3)=0
P1(208.4)=2.1 P2(208.4)=6.3 P115(208.4)=10.9 P116(208.4)=0
P1(208.5)=2.1 P2(208.5)=6.3 P115(208.5)=12 P116(208.5)=0
P1(208.6)=2.1 P2(208.6)=6.3 P115(208.6)=12.1 P116(208.6)=0
P1(208.7)=2.1 P2(208.7)=6.3 P115(208.7)=12.1 P116(208.7)=0
P1(208.8)=3.1 P2(208.8)=6.3 P115(208.8)=12.1 P116(208.8)=0
P1(208.9)=3.1 P2(208.9)=6.3 P115(208.9)=12.2 P116(208.9)=0
P1(209)=3.1 P2(209)=7.3 P115(209)=12.2 P116(209)=0
P1(209.1)=3.3 P2(209.1)=7.3 P115(209.1)=12.3 P116(209.1)=0
P1(209.2)=3.3 P2(209.2)=9.3 P115(209.2)=12.3 P116(209.2)=0
P1(209.3)=3.4 P2(209.3)=9.3 P115(209.3)=12.3 P116(209.3)=0
P1(209.4)=3.4 P2(209.4)=10.3 P115(209.4)=12.3 P116(209.4)=0
P1(209.5)=4.4 P2(209.5)=11.3 P115(209.5)=12.3 P116(209.5)=0
P1(209.6)=4.4 P2(209.6)=11.3 P115(209.6)=12.3 P116(209.6)=0
P1(209.7)=5.4 P2(209.7)=11.3 P115(209.7)=12.3 P116(209.7)=0
P1(209.8)=5.4 P2(209.8)=11.3 P115(209.8)=12.3 P116(209.8)=0
P1(209.9)=4.9 P2(209.9)=10.3 P115(209.9)=12.3 P116(209.9)=0
P1(210)=4.9 P2(210)=10.3 P115(210)=14.3 P116(210)=0
P1(210.1)=6 P2(210.1)=10.3 P115(210.1)=14.3 P116(210.1)=0
P1(210.2)=6 P2(210.2)=10.3 P115(210.2)=14.3 P116(210.2)=0
P1(210.3)=6 P2(210.3)=10.3 P115(210.3)=14.3 P116(210.3)=0
P1(210.4)=6.1 P2(210.4)=11.3 P115(210.4)=14.3 P116(210.4)=0
P1(210.5)=7.1 P2(210.5)=11.3 P115(210.5)=14.3 P116(210.5)=0
P1(210.6)=7.1 P2(210.6)=11.3 P115(210.6)=14.3 P116(210.6)=0
P1(210.7)=8.1 P2(210.7)=11.4 P115(210.7)=14.3 P116(210.7)=0
P1(210.8)=8.1 P2(210.8)=11.4 P115(210.8)=14.4 P116(210.8)=0
P1(210.9)=8.1 P2(210.9)=11.4 P115(210.9)=14.4 P116(210.9)=0
P1(211)=9.1 P2(211)=11.4 P115(211)=14.4 P116(211)=0
P1(211.1)=9.1 P2(211.1)=11.4 P115(211.1)=14.4 P116(211.1)=0
P1(211.2)=8.6 P2(211.2)=12.4 P115(211.2)=14.4 P116(211.2)=0
P1(211.3)=8.6 P2(211.3)=12.4 P115(211.3)=14.4 P116(211.3)=0
P1(211.4)=8.6 P2(211.4)=12.4 P115(211.4)=14.4 P116(211.4)=0
P1(211.5)=9.6 P2(211.5)=12.4 P115(211.5)=15.4 P116(211.5)=0
P1(211.6)=9.6 P2(211.6)=12.4 P115(211.6)=15.4 P116(211.6)=0
P1(211.7)=10.6 P2(211.7)=13.4 P115(211.7)=15.4 P116(211.7)=0
P1(211.8)=10.6 P2(211.8)=13.4 P115(211.8)=15.4 P116(211.8)=0
P1(211.9)=10.6 P2(211.9)=13.4 P115(211.9)=15.5 P116(211.9)=0
P1(212)=10.6 P2(212)=13.5 P115(212)=15.5 P116(212)=0
P1(212.1)=10.6 P2(212.1)=13.7 P115(212.1)=17.6 P116(212.1)=0
P1(212.2)=10.1 P2(212.2)=13.7 P115(212.2)=17.6 P116(212.2)=0
P1(212.3)=10.1 P2(212.3)=13.7 P115(212.3)=17.6 P116(212.3)=0
P1(212.4)=10.1 P2(212.4)=13.7 P115(212.4)=17.6 P116(212.4)=0
P1(212.5)=10.1 P2(212.5)=13.7 P115(212.5)=18.6 P116(212.5)=0
P1(212.6)=10.1 P2(212.6)=13.7 P115(212.6)=18.7 P116(212.6)=0
P1(212.7)=10.1 P2(212.7)=13.7 P115(212.7)=18.7 P116(212.7)=0
P1(212.8)=10.1 P2(212.8)=13.7 P115(212.8)=18.8 P116(212.8)=0
P1(212.9)=10.1 P2(212.9)=13.8 P115(212.9)=18.8 P116(212.9)=0
P1(213)=10.1 P2(213)=13.8 P115(213)=18.8 P116(213)=0
P1(213.1)=10.2 P2(213.1)=13.8 P115(213.1)=18.8 P116(213.1)=0
P1(213.2)=10.3 P2(213.2)=13.8 P115(213.2)=18.8 P116(213.2)=0
P1(213.3)=10.3 P2(213.3)=13.8 P115(213.3)=18.8 P116(213.3)=0
P1(213.4)=12.3 P2(213.4)=14.9 P115(213.4)=18.8 P116(213.4)=0
P1(213.5)=11.8 P2(213.5)=14.9 P115(213.5)=18.8 P116(213.5)=0
P1(213.6)=11.8 P2(213.6)=14.4 P115(213.6)=18.8 P116(213.6)=0
P1(213.7)=12.8 P2(213.7)=14.4 P115(213.7)=19.8 P116(213.7)=0
P1(213.8)=12.8 P2(213.8)=13.9 P115(213.8)=20.8 P116(213.8)=0
P1(213.9)=13.9 P2(213.9)=14 P115(213.9)=0 P116(213.9)=0
P1(214)=14 P2(214)=14 P115(214)=0 P116(214)=0
P1(214.1)=14 P2(214.1)=14 P115(214.1)=0 P116(214.1)=0
P1(214.2)=14 P2(214.2)=13.5 P115(214.2)=0 P116(214.2)=0
P1(214.3)=14 P2(214.3)=13.5 P115(214.3)=0 P116(214.3)=0
P1(214.4)=14 P2(214.4)=13.5 P115(214.4)=0 P116(214.4)=0
P1(214.5)=14 P2(214.5)=14.5 P115(214.5)=0 P116(214.5)=0
P1(214.6)=14 P2(214.6)=15.5 P115(214.6)=0 P116(214.6)=0
P1(214.7)=15.1 P2(214.7)=15.5 P115(214.7)=0 P116(214.7)=0
P1(214.8)=15.1 P2(214.8)=15.5 P115(214.8)=0 P116(214.8)=0
P1(214.9)=16.1 P2(214.9)=16.5 P115(214.9)=0 P116(214.9)=0
P1(215)=16.1 P2(215)=16.6 P115(215)=0 P116(215)=0
P1(215.1)=16.1 P2(215.1)=16.6 P115(215.1)=0 P116(215.1)=0
P1(215.2)=17.1 P2(215.2)=16.6 P115(215.2)=0 P116(215.2)=0
P1(215.3)=17.1 P2(215.3)=16.6 P115(215.3)=0 P116(215.3)=0
P1(215.4)=17.1 P2(215.4)=17.6 P115(215.4)=0 P116(215.4)=0
P1(215.5)=17.1 P2(215.5)=18.6 P115(215.5)=0 P116(215.5)=0
P1(215.6)=17.1 P2(215.6)=18.7 P115(215.6)=0 P116(215.6)=0
P1(215.7)=17.1 P2(215.7)=19.1 P115(215.7)=0 P116(215.7)=0
P1(215.8)=17.1 P2(215.8)=19.1 P115(215.8)=0 P116(215.8)=0
P1(215.9)=17.1 P2(215.9)=20.3 P115(215.9)=0 P116(215.9)=0
P1(216)=17.1 P2(216)=0 P115(216)=0 P116(216)=0
P1(216.1)=17.3 P2(216.1)=0 P115(216.1)=0 P116(216.1)=0
P1(216.2)=17.4 P2(216.2)=0 P115(216.2)=0 P116(216.2)=0
P1(216.3)=17.5 P2(216.3)=0 P115(216.3)=0 P116(216.3)=0
P1(216.4)=17.5 P2(216.4)=0 P115(216.4)=0 P116(216.4)=0
P1(216.5)=17.5 P2(216.5)=0 P115(216.5)=0 P116(216.5)=0
P1(216.6)=17.5 P2(216.6)=0 P115(216.6)=0 P116(216.6)=0
P1(216.7)=17.5 P2(216.7)=0 P115(216.7)=0 P116(216.7)=0
P1(216.8)=17.5 P2(216.8)=0 P115(216.8)=0 P116(216.8)=0
P1(216.9)=17 P2(216.9)=0 P115(216.9)=0 P116(216.9)=0
P1(217)=17 P2(217)=0 P115(217)=0 P116(217)=0
P1(217.1)=16.5 P2(217.1)=0 P115(217.1)=0 P116(217.1)=0
P1(217.2)=16.5 P2(217.2)=0 P115(217.2)=0 P116(217.2)=0
P1(217.3)=16.5 P2(217.3)=0 P115(217.3)=0 P116(217.3)=0
P1(217.4)=16.5 P2(217.4)=0 P115(217.4)=0 P116(217.4)=0
P1(217.5)=16.5 P2(217.5)=0 P115(217.5)=0 P116(217.5)=0
P1(217.6)=16.6 P2(217.6)=0 P115(217.6)=0 P116(217.6)=0
P1(217.7)=16.7 P2(217.7)=0 P115(217.7)=0 P116(217.7)=0
P1(217.8)=16.8 P2(217.8)=0 P115(217.8)=0 P116(217.8)=0
P1(217.9)=16.8 P2(217.9)=0 P115(217.9)=0 P116(217.9)=0
P1(218)=17.4 P2(218)=0 P115(218)=0 P116(218)=0
P1(218.1)=17.4 P2(218.1)=0 P115(218.1)=0 P116(218.1)=0
P1(218.2)=17.4 P2(218.2)=0 P115(218.2)=0 P116(218.2)=0
P1(218.3)=17.5 P2(218.3)=0 P115(218.3)=0 P116(218.3)=0
P1(218.4)=18.6 P2(218.4)=0 P115(218.4)=0 P116(218.4)=0
P1(218.5)=18.7 P2(218.5)=0 P115(218.5)=0 P116(218.5)=0
P1(218.6)=18.7 P2(218.6)=0 P115(218.6)=0 P116(218.6)=0
P1(218.7)=18.2 P2(218.7)=0 P115(218.7)=0 P116(218.7)=0
P1(218.8)=19.3 P2(218.8)=0 P115(218.8)=0 P116(218.8)=0
P1(218.9)=19.3 P2(218.9)=0 P115(218.9)=0 P116(218.9)=0
P1(219)=19.3 P2(219)=0 P115(219)=0 P116(219)=0
P1(219.1)=19.3 P2(219.1)=0 P115(219.1)=0 P116(219.1)=0
P1(219.2)=19.4 P2(219.2)=0 P115(219.2)=0 P116(219.2)=0
P1(219.3)=19.5 P2(219.3)=0 P115(219.3)=0 P116(219.3)=0
P1(219.4)=19.5 P2(219.4)=0 P115(219.4)=0 P116(219.4)=0
P1(219.5)=19.5 P2(219.5)=0 P115(219.5)=0 P116(219.5)=0
P1(219.6)=19.7 P2(219.6)=0 P115(219.6)=0 P116(219.6)=0
P1(219.7)=19.7 P2(219.7)=0 P115(219.7)=0 P116(219.7)=0
P1(219.8)=19.7 P2(219.8)=0 P115(219.8)=0 P116(219.8)=0
P1(219.9)=19.7 P2(219.9)=0 P115(219.9)=0 P116(219.9)=0
P1(220)=20.8 P2(220)=0 P115(220)=0 P116(220)=0
P1(220.1)=0 P2(220.1)=0 P115(220.1)=0 P116(220.1)=0
P1(220.2)=0 P2(220.2)=0 P115(220.2)=0 P116(220.2)=0
P1(220.3)=0 P2(220.3)=0 P115(220.3)=0 P116(220.3)=0
P1(220.4)=0 P2(220.4)=0 P115(220.4)=0 P116(220.4)=0
P1(220.5)=0 P2(220.5)=0 P115(220.5)=0 P116(220.5)=0
P1(220.6)=0 P2(220.6)=0 P115(220.6)=0 P116(220.6)=0
P1(220.7)=0 P2(220.7)=0 P115(220.7)=0 P116(220.7)=0
P1(220.8)=0 P2(220.8)=0 P115(220.8)=0 P116(220.8)=0
P1(220.9)=0 P2(220.9)=0 P115(220.9)=0 P116(220.9)=0
P1(221)=0 P2(221)=0 P115(221)=0 P116(221)=0
P1(221.1)=0 P2(221.1)=0 P115(221.1)=0 P116(221.1)=0
P1(221.2)=0 P2(221.2)=0 P115(221.2)=0 P116(221.2)=0
P1(221.3)=0 P2(221.3)=0 P115(221.3)=0 P116(221.3)=0
P1(221.4)=0 P2(221.4)=0 P115(221.4)=0 P116(221.4)=0
P1(221.5)=0 P2(221.5)=0 P115(221.5)=0 P116(221.5)=0
P1(221.6)=0 P2(221.6)=0 P115(221.6)=0 P116(221.6)=0
P1(221.7)=0 P2(221.7)=0 P115(221.7)=0 P116(221.7)=0
P1(221.8)=0 P2(221.8)=0 P115(221.8)=0 P116(221.8)=0
P1(221.9)=0 P2(221.9)=0 P115(221.9)=0 P116(221.9)=0
P1(222)=0 P2(222)=0 P115(222)=0 P116(222)=0
P1(222.1)=0 P2(222.1)=0 P115(222.1)=0 P116(222.1)=0
P1(222.2)=0 P2(222.2)=0 P115(222.2)=0 P116(222.2)=0
P1(222.3)=0 P2(222.3)=0 P115(222.3)=0 P116(222.3)=0
P1(222.4)=0 P2(222.4)=0 P115(222.4)=0 P116(222.4)=0
P1(222.5)=0 P2(222.5)=0 P115(222.5)=0 P116(222.5)=0
P1(222.6)=0 P2(222.6)=0 P115(222.6)=0 P116(222.6)=0
P1(222.7)=0 P2(222.7)=0 P115(222.7)=0 P116(222.7)=0
P1(222.8)=0 P2(222.8)=0 P115(222.8)=0 P116(222.8)=0
P1(222.9)=0 P2(222.9)=0 P115(222.9)=0 P116(222.9)=0
P1(223)=0 P2(223)=0 P115(223)=0 P116(223)=0
P1(223.1)=0 P2(223.1)=0 P115(223.1)=0 P116(223.1)=0
P1(223.2)=0 P2(223.2)=0 P115(223.2)=0 P116(223.2)=0
P1(223.3)=0 P2(223.3)=0 P115(223.3)=0 P116(223.3)=0
P1(223.4)=0 P2(223.4)=0 P115(223.4)=0 P116(223.4)=0
P1(223.5)=0 P2(223.5)=0 P115(223.5)=0 P116(223.5)=0
P1(223.6)=0 P2(223.6)=0 P115(223.6)=0 P116(223.6)=0
P1(223.7)=0 P2(223.7)=0 P115(223.7)=0 P116(223.7)=0
P1(223.8)=0 P2(223.8)=0 P115(223.8)=0 P116(223.8)=0
P1(223.9)=0 P2(223.9)=0 P115(223.9)=0 P116(223.9)=0
P1(224)=0 P2(224)=0 P115(224)=0 P116(224)=0
P1(224.1)=0 P2(224.1)=0 P115(224.1)=0 P116(224.1)=0
P1(224.2)=0 P2(224.2)=0 P115(224.2)=0 P116(224.2)=0
P1(224.3)=0 P2(224.3)=0 P115(224.3)=0 P116(224.3)=0
P1(224.4)=0 P2(224.4)=0 P115(224.4)=0 P116(224.4)=0
P1(224.5)=0 P2(224.5)=0 P115(224.5)=0 P116(224.5)=0
P1(224.6)=0 P2(224.6)=0 P115(224.6)=0 P116(224.6)=0
P1(224.7)=0 P2(224.7)=0 P115(224.7)=0 P116(224.7)=0
P1(224.8)=0 P2(224.8)=0 P115(224.8)=0 P116(224.8)=0
P1(224.9)=0 P2(224.9)=0 P115(224.9)=0 P116(224.9)=0
P1(225)=0 P2(225)=0 P115(225)=0 P116(225)=0
P1(225.1)=0 P2(225.1)=0 P115(225.1)=0 P116(225.1)=0
P1(225.2)=0 P2(225.2)=0 P115(225.2)=0 P116(225.2)=0
P1(225.3)=0 P2(225.3)=0 P115(225.3)=0 P116(225.3)=0
P1(225.4)=0 P2(225.4)=0 P115(225.4)=0 P116(225.4)=0
P1(225.5)=0 P2(225.5)=0 P115(225.5)=0 P116(225.5)=0
P1(225.6)=0 P2(225.6)=0 P115(225.6)=0 P116(225.6)=0
P1(225.7)=0 P2(225.7)=0 P115(225.7)=0 P116(225.7)=0
P1(225.8)=0 P2(225.8)=0 P115(225.8)=0 P116(225.8)=0
P1(225.9)=0 P2(225.9)=0 P115(225.9)=0 P116(225.9)=0
P1(226)=0 P2(226)=0 P115(226)=0 P116(226)=0
P1(226.1)=0 P2(226.1)=0 P115(226.1)=0 P116(226.1)=0
P1(226.2)=0 P2(226.2)=0 P115(226.2)=0 P116(226.2)=0
P1(226.3)=0 P2(226.3)=0 P115(226.3)=0 P116(226.3)=0
P1(226.4)=0 P2(226.4)=0 P115(226.4)=0 P116(226.4)=0
P1(226.5)=0 P2(226.5)=0 P115(226.5)=0 P116(226.5)=1.1
P1(226.6)=0 P2(226.6)=0 P115(226.6)=0 P116(226.6)=1.2
P1(226.7)=0 P2(226.7)=0 P115(226.7)=0 P116(226.7)=2.3
P1(226.8)=0 P2(226.8)=0 P115(226.8)=0 P116(226.8)=2.3
P1(226.9)=0 P2(226.9)=0 P115(226.9)=0 P116(226.9)=2.3
P1(227)=0 P2(227)=0 P115(227)=0 P116(227)=2.3
P1(227.1)=0 P2(227.1)=0 P115(227.1)=0 P116(227.1)=3.3
P1(227.2)=0 P2(227.2)=0 P115(227.2)=0 P116(227.2)=3.3
P1(227.3)=0 P2(227.3)=0 P115(227.3)=0 P116(227.3)=3.4
P1(227.4)=0 P2(227.4)=0 P115(227.4)=0 P116(227.4)=3.5
P1(227.5)=0 P2(227.5)=0 P115(227.5)=0 P116(227.5)=3
P1(227.6)=0 P2(227.6)=0 P115(227.6)=0 P116(227.6)=3
P1(227.7)=0 P2(227.7)=0 P115(227.7)=0 P116(227.7)=3.1
P1(227.8)=0 P2(227.8)=0 P115(227.8)=0 P116(227.8)=3.1
P1(227.9)=0 P2(227.9)=0 P115(227.9)=0 P116(227.9)=3.1
P1(228)=0 P2(228)=0 P115(228)=0 P116(228)=4.1
P1(228.1)=0 P2(228.1)=0 P115(228.1)=0 P116(228.1)=4.2
P1(228.2)=0 P2(228.2)=0 P115(228.2)=0 P116(228.2)=3.8
P1(228.3)=0 P2(228.3)=0 P115(228.3)=0 P116(228.3)=4
P1(228.4)=0 P2(228.4)=0 P115(228.4)=0 P116(228.4)=4
P1(228.5)=0 P2(228.5)=0 P115(228.5)=0 P116(228.5)=4
P1(228.6)=0 P2(228.6)=0 P115(228.6)=0 P116(228.6)=5
P1(228.7)=0 P2(228.7)=0 P115(228.7)=0 P116(228.7)=5
P1(228.8)=0 P2(228.8)=0 P115(228.8)=0 P116(228.8)=5
P1(228.9)=0 P2(228.9)=0 P115(228.9)=0 P116(228.9)=4.5
P1(229)=0 P2(229)=0 P115(229)=0 P116(229)=4.5
P1(229.1)=0 P2(229.1)=0 P115(229.1)=0 P116(229.1)=4.7
P1(229.2)=0 P2(229.2)=0 P115(229.2)=0 P116(229.2)=4.7
P1(229.3)=0 P2(229.3)=0 P115(229.3)=0 P116(229.3)=4.7
P1(229.4)=0 P2(229.4)=0 P115(229.4)=0 P116(229.4)=4.7
P1(229.5)=0 P2(229.5)=0 P115(229.5)=0 P116(229.5)=4.7
P1(229.6)=0 P2(229.6)=0 P115(229.6)=0 P116(229.6)=4.7
P1(229.7)=0 P2(229.7)=0 P115(229.7)=0 P116(229.7)=4.8
P1(229.8)=0 P2(229.8)=0 P115(229.8)=0 P116(229.8)=4.8
P1(229.9)=0 P2(229.9)=0 P115(229.9)=0 P116(229.9)=4.8
P1(230)=0 P2(230)=0 P115(230)=0 P116(230)=4.8
P1(230.1)=0 P2(230.1)=0 P115(230.1)=0 P116(230.1)=4.8
P1(230.2)=0 P2(230.2)=0 P115(230.2)=0 P116(230.2)=4.8
P1(230.3)=0 P2(230.3)=0 P115(230.3)=0 P116(230.3)=4.9
P1(230.4)=0 P2(230.4)=0 P115(230.4)=0 P116(230.4)=4.9
P1(230.5)=0 P2(230.5)=0 P115(230.5)=0 P116(230.5)=5
P1(230.6)=0 P2(230.6)=0 P115(230.6)=0 P116(230.6)=5
P1(230.7)=0 P2(230.7)=0 P115(230.7)=0 P116(230.7)=5
P1(230.8)=0 P2(230.8)=0 P115(230.8)=0 P116(230.8)=5
P1(230.9)=0 P2(230.9)=0 P115(230.9)=0 P116(230.9)=6
P1(231)=0 P2(231)=0 P115(231)=0 P116(231)=6
P1(231.1)=0 P2(231.1)=0 P115(231.1)=0 P116(231.1)=6.1
P1(231.2)=0 P2(231.2)=0 P115(231.2)=0 P116(231.2)=6.2
P1(231.3)=0 P2(231.3)=0 P115(231.3)=0 P116(231.3)=6.2
P1(231.4)=0 P2(231.4)=0 P115(231.4)=0 P116(231.4)=6.5
P1(231.5)=0 P2(231.5)=0 P115(231.5)=0 P116(231.5)=6.5
P1(231.6)=0 P2(231.6)=0 P115(231.6)=0 P116(231.6)=6.5
P1(231.7)=0 P2(231.7)=0 P115(231.7)=0 P116(231.7)=6.5
P1(231.8)=0 P2(231.8)=0 P115(231.8)=0 P116(231.8)=6.5
P1(231.9)=0 P2(231.9)=0 P115(231.9)=0 P116(231.9)=6.5
P1(232)=0 P2(232)=0 P115(232)=0 P116(232)=7.6
P1(232.1)=0 P2(232.1)=0 P115(232.1)=0 P116(232.1)=7.6
P1(232.2)=0 P2(232.2)=0 P115(232.2)=0 P116(232.2)=7.6
P1(232.3)=0 P2(232.3)=0 P115(232.3)=0 P116(232.3)=7.6
P1(232.4)=0 P2(232.4)=0 P115(232.4)=0 P116(232.4)=7.6
P1(232.5)=0 P2(232.5)=0 P115(232.5)=0 P116(232.5)=7.7
P1(232.6)=0 P2(232.6)=0 P115(232.6)=0 P116(232.6)=7.7
P1(232.7)=0 P2(232.7)=0 P115(232.7)=0 P116(232.7)=7.7
P1(232.8)=0 P2(232.8)=0 P115(232.8)=0 P116(232.8)=7.7
P1(232.9)=0 P2(232.9)=0 P115(232.9)=0 P116(232.9)=7.7
P1(233)=0 P2(233)=0 P115(233)=0 P116(233)=7.7
P1(233.1)=0 P2(233.1)=0 P115(233.1)=0 P116(233.1)=7.7
P1(233.2)=0 P2(233.2)=0 P115(233.2)=0 P116(233.2)=7.8
P1(233.3)=0 P2(233.3)=0 P115(233.3)=0 P116(233.3)=7.8
P1(233.4)=0 P2(233.4)=0 P115(233.4)=0 P116(233.4)=7.8
P1(233.5)=0 P2(233.5)=0 P115(233.5)=0 P116(233.5)=8
P1(233.6)=0 P2(233.6)=0 P115(233.6)=0 P116(233.6)=8
P1(233.7)=0 P2(233.7)=0 P115(233.7)=0 P116(233.7)=9
P1(233.8)=0 P2(233.8)=0 P115(233.8)=0 P116(233.8)=9
P1(233.9)=0 P2(233.9)=0 P115(233.9)=0 P116(233.9)=9
P1(234)=0 P2(234)=0 P115(234)=0 P116(234)=10
P1(234.1)=0 P2(234.1)=0 P115(234.1)=0 P116(234.1)=9.6
P1(234.2)=0 P2(234.2)=0 P115(234.2)=-0.3 P116(234.2)=9.6
P1(234.3)=0 P2(234.3)=0 P115(234.3)=-0.3 P116(234.3)=9.6
P1(234.4)=0 P2(234.4)=0 P115(234.4)=-0.3 P116(234.4)=9.6
P1(234.5)=0 P2(234.5)=0 P115(234.5)=-0.3 P116(234.5)=9.6
P1(234.6)=0 P2(234.6)=0 P115(234.6)=0.7 P116(234.6)=9.6
P1(234.7)=0 P2(234.7)=0 P115(234.7)=0.7 P116(234.7)=9.6
P1(234.8)=0 P2(234.8)=0 P115(234.8)=0.7 P116(234.8)=9.6
P1(234.9)=0 P2(234.9)=0 P115(234.9)=0.7 P116(234.9)=9.6
P1(235)=0 P2(235)=0 P115(235)=0.7 P116(235)=11.6
P1(235.1)=0 P2(235.1)=0 P115(235.1)=0.7 P116(235.1)=11.6
P1(235.2)=0 P2(235.2)=0 P115(235.2)=0.7 P116(235.2)=11.6
P1(235.3)=0 P2(235.3)=0 P115(235.3)=0.7 P116(235.3)=11.1
P1(235.4)=0 P2(235.4)=0 P115(235.4)=0.7 P116(235.4)=11.1
P1(235.5)=0 P2(235.5)=0 P115(235.5)=0.7 P116(235.5)=12.1
P1(235.6)=0 P2(235.6)=0 P115(235.6)=0.7 P116(235.6)=14.1
P1(235.7)=0 P2(235.7)=0 P115(235.7)=0.7 P116(235.7)=14.2
P1(235.8)=0 P2(235.8)=0 P115(235.8)=1.7 P116(235.8)=15.2
P1(235.9)=0 P2(235.9)=0 P115(235.9)=1.8 P116(235.9)=15.2
P1(236)=0 P2(236)=0 P115(236)=1.8 P116(236)=15.3
P1(236.1)=0 P2(236.1)=0 P115(236.1)=1.8 P116(236.1)=15.4
P1(236.2)=0 P2(236.2)=0 P115(236.2)=1.8 P116(236.2)=16.4
P1(236.3)=0 P2(236.3)=0.1 P115(236.3)=1.8 P116(236.3)=16.5
P1(236.4)=0 P2(236.4)=0.1 P115(236.4)=3.8 P116(236.4)=16.5
P1(236.5)=0 P2(236.5)=1.2 P115(236.5)=3.8 P116(236.5)=16.5
P1(236.6)=0 P2(236.6)=1.2 P115(236.6)=3.8 P116(236.6)=16.5
P1(236.7)=0 P2(236.7)=1.2 P115(236.7)=3.8 P116(236.7)=16.5
P1(236.8)=0 P2(236.8)=1.2 P115(236.8)=3.8 P116(236.8)=17.5
P1(236.9)=0 P2(236.9)=0.7 P115(236.9)=3.8 P116(236.9)=17.5
P1(237)=0 P2(237)=1.7 P115(237)=4.8 P116(237)=17.5
P1(237.1)=0 P2(237.1)=3.7 P115(237.1)=4.8 P116(237.1)=17.5
P1(237.2)=0 P2(237.2)=3.7 P115(237.2)=4.8 P116(237.2)=17.5
P1(237.3)=0 P2(237.3)=3.7 P115(237.3)=4.8 P116(237.3)=17.5
P1(237.4)=0 P2(237.4)=3.7 P115(237.4)=4.8 P116(237.4)=17.5
P1(237.5)=0 P2(237.5)=3.7 P115(237.5)=4.8 P116(237.5)=19.5
P1(237.6)=0 P2(237.6)=3.7 P115(237.6)=4.8 P116(237.6)=19.6
P1(237.7)=0 P2(237.7)=3.7 P115(237.7)=4.8 P116(237.7)=19.6
P1(237.8)=0 P2(237.8)=3.7 P115(237.8)=4.8 P116(237.8)=19.6
P1(237.9)=0 P2(237.9)=3.7 P115(237.9)=4.8 P116(237.9)=19.7
P1(238)=0 P2(238)=4.8 P115(238)=4.9 P116(238)=19.2
P1(238.1)=0 P2(238.1)=4.8 P115(238.1)=4.9 P116(238.1)=19.2
